0,Matheus,8937375,,,matheus.cabrini@usp.br,student,0,3,10,2015,4,7,2014
1,Adenilso,111111,,,adenilso@usp.br,professor,0,,,,,,
2,Pedro,,433859486,Rua Pedro Maria n43,pedro@hotmail.com,community,0,,,,,,
3,Ana,,834498374,Avenida Sao Carlos n1093 ap203,ana34@gmail.com,community,0,,,,,,
4,Claudia,,463271887,Rua Santa Maria n654,clau837@gmail.com,community,0,,,,,,
5,Jose Carvalho,8938472,,,jose.carvalho@usp.br,student,0,,,,,,
6,Paulo Borges,8476562,,,paulo_b94@gmail.com,student,0,,,,,,
7,Xavier,837463,,,xavxav@gmail.com,professor,0,,,,,,
8,Arya Stark,8347567,,,aryastark@yahoo.com,student,0,,,,,,
9,Danyela,8536475,,,targaryen2746@gmail.com,student,2,,,,,,
10,Tyrion Lannister,837483,,,tyrion8839@yahoo.com,professor,1,,,,16,5,2015
